questions,expected
0-916      ,-916  
9-50345    ,-50336
62001-53   ,61948 
361+0      ,361   
5042+31    ,5073  
7+4520     ,4527  
364+375    ,739   
1800-8915  ,-7115 
8-48       ,-40   
61931+91   ,62022 
4+1        ,5     
161-45     ,116   
2243+534   ,2777  
135+6      ,141   
9575-8     ,9567  
4+572      ,576   
28834-671  ,28163 
6023-964   ,5059  
10894-9    ,10885 
40653-285  ,40368 
819-173    ,646   
429-91094  ,-90665
1633-713   ,920   
20621-574  ,20047 
52764-1    ,52763 
171+97153  ,97324 
513-58154  ,-57641
12-285     ,-273  
0+239      ,239   
655+0      ,655   
96+6       ,102   
721-4960   ,-4239 
41561+971  ,42532 
2070-758   ,1312  
56+784     ,840   
78+3121    ,3199  
18+47133   ,47151 
7+9855     ,9862  
38999-222  ,38777 
240-9      ,231   
4013+8783  ,12796 
36+1       ,37    
6757+720   ,7477  
67602+3827 ,71429 
8191+21814 ,30005 
367+44894  ,45261 
168-93165  ,-92997
16847+2034 ,18881 
4523+70571 ,75094 
374-1087   ,-713  
887-11     ,876   
413-62062  ,-61649
5434-55    ,5379  
825-6      ,819   
4-259      ,-255  
94-10      ,84    
5-18558    ,-18553
4-5486     ,-5482 
8-85142    ,-85134
66+2785    ,2851  
23-3       ,20    
5192-950   ,4242  
32298-31   ,32267 
97065+89   ,97154 
82157+746  ,82903 
876+6113   ,6989  
29776+32   ,29808 
47656+9577 ,57233 
76232-8334 ,67898 
43+85611   ,85654 
56651-295  ,56356 
5-229      ,-224  
108+37     ,145   
6011+7     ,6018  
8-70       ,-62   
7361+25    ,7386  
7523+9884  ,17407 
18+79      ,97    
9760+2991  ,12751 
97247-121  ,97126 
2566+3     ,2569  
387-98     ,289   
354+8      ,362   
1+316      ,317   
9+4697     ,4706  
93429-5    ,93424 
8+3204     ,3212  
23720-9046 ,14674 
8150+9     ,8159  
96364-79   ,96285 
19269+49361,68630 
8134-3     ,8131  
8-642      ,-634  
2+4473     ,4475  
8603+5     ,8608  
877+9295   ,10172 
4-33314    ,-33310
2407-1052  ,1355  
142+2      ,144   
2987-12    ,2975  
41400+57   ,41457 
7931+39840 ,47771 
1+694      ,695   
3612+1855  ,5467  
6919+3     ,6922  
792-34     ,758   
70+33      ,103   
972+97     ,1069  
2-12747    ,-12745
4857+3614  ,8471  
67+88      ,155   
57930-66   ,57864 
9137+67748 ,76885 
6+1995     ,2001  
2-449      ,-447  
85831-9007 ,76824 
1+4584     ,4585  
80-63005   ,-62925
7508+2769  ,10277 
48+58      ,106   
61-380     ,-319  
6278+8     ,6286  
38+8910    ,8948  
42713+8842 ,51555 
31+202     ,233   
35106-86   ,35020 
4620+43450 ,48070 
774+91117  ,91891 
367+2      ,369   
13088+1156 ,14244 
65-77      ,-12   
7161+90630 ,97791 
9400+1775  ,11175 
7659-610   ,7049  
1976-79898 ,-77922
7179-59    ,7120  
82584-1    ,82583 
4-397      ,-393  
6693-2     ,6691  
937-0      ,937   
523+4      ,527   
8364-4566  ,3798  
8167-197   ,7970  
68-7010    ,-6942 
7-133      ,-126  
3179-78956 ,-75777
638-2      ,636   
506-98     ,408   
47918+3182 ,51100 
80976+9177 ,90153 
59-184     ,-125  
7942+17086 ,25028 
96+6134    ,6230  
36653+63   ,36716 
9-36062    ,-36053
1+9488     ,9489  
566-53997  ,-53431
86-992     ,-906  
480+906    ,1386  
7-43010    ,-43003
13+311     ,324   
222-4966   ,-4744 
7+269      ,276   
70027+765  ,70792 
7+61204    ,61211 
32730+1    ,32731 
38-2       ,36    
12201+7    ,12208 
65382+78771,144153
98687+2850 ,101537
220-81276  ,-81056
93+16      ,109   
581+48846  ,49427 
88-91420   ,-91332
59+20      ,79    
43+80043   ,80086 
7864+2     ,7866  
205+546    ,751   
95251+2    ,95253 
2-42056    ,-42054
8807-37    ,8770  
51818+9    ,51827 
4278+56463 ,60741 
340+678    ,1018  
18826+57   ,18883 
27494-9490 ,18004 
635+4216   ,4851  
0+74999    ,74999 
6127-9212  ,-3085 
4685+6519  ,11204 
186-984    ,-798  
3-72       ,-69   
32-616     ,-584  
4524-933   ,3591  
4844+5741  ,10585 
17241+273  ,17514 
3032+81    ,3113  
89+92      ,181   
44+4091    ,4135  
