questions,expected
989+54 ,1043
6-867  ,-861
88+125 ,213 
485+5  ,490 
348+56 ,404 
506+2  ,508 
125+42 ,167 
164-742,-578
0-594  ,-594
640-4  ,636 
983+854,1837
3-918  ,-915
93-46  ,47  
398+184,582 
841+764,1605
579-248,331 
376-53 ,323 
68-20  ,48  
608+46 ,654 
50-381 ,-331
338-536,-198
69-43  ,26  
829+36 ,865 
35+1   ,36  
39+46  ,85  
825-3  ,822 
908+5  ,913 
2-620  ,-618
7+755  ,762 
1-964  ,-963
197-323,-126
38+825 ,863 
6-465  ,-459
87+60  ,147 
87+87  ,174 
556+220,776 
65+16  ,81  
52-34  ,18  
301-28 ,273 
420+912,1332
190-92 ,98  
274-8  ,266 
492+31 ,523 
9+843  ,852 
88+462 ,550 
462+677,1139
325+96 ,421 
43-2   ,41  
238-7  ,231 
232-10 ,222 
24-286 ,-262
2-962  ,-960
1-829  ,-828
148-53 ,95  
305-53 ,252 
9+651  ,660 
7+991  ,998 
2-98   ,-96 
19+135 ,154 
665-30 ,635 
9-194  ,-185
72-89  ,-17 
375+71 ,446 
406+603,1009
24+141 ,165 
69+17  ,86  
1-500  ,-499
76+417 ,493 
578+47 ,625 
869-425,444 
114-85 ,29  
698-249,449 
21-290 ,-269
187-42 ,145 
92-166 ,-74 
653-845,-192
326-4  ,322 
95+658 ,753 
269+455,724 
59+93  ,152 
153+92 ,245 
684+256,940 
71+72  ,143 
24+24  ,48  
6-656  ,-650
671-87 ,584 
65-8   ,57  
79-770 ,-691
337-2  ,335 
723+41 ,764 
28-75  ,-47 
569+18 ,587 
30-27  ,3   
25+144 ,169 
28-592 ,-564
126+18 ,144 
110+20 ,130 
782-357,425 
65-489 ,-424
257-968,-711
227+531,758 
88-780 ,-692
292-474,-182
256-982,-726
8+276  ,284 
195-828,-633
11-842 ,-831
23-95  ,-72 
79+521 ,600 
773-78 ,695 
197-55 ,142 
39-77  ,-38 
901-71 ,830 
86-61  ,25  
5-146  ,-141
26-16  ,10  
72-55  ,17  
22+92  ,114 
72+28  ,100 
31+990 ,1021
77+34  ,111 
660-67 ,593 
8-158  ,-150
637-354,283 
95+260 ,355 
415-55 ,360 
815-18 ,797 
44+80  ,124 
907+3  ,910 
5+298  ,303 
976-1  ,975 
463+13 ,476 
820+26 ,846 
17+188 ,205 
8+465  ,473 
157-271,-114
76-535 ,-459
716+2  ,718 
424-807,-383
8-55   ,-47 
776-155,621 
29-470 ,-441
6-318  ,-312
8+889  ,897 
126+8  ,134 
38+75  ,113 
726+298,1024
328+977,1305
560+90 ,650 
906+76 ,982 
597-71 ,526 
186+1  ,187 
422-49 ,373 
7+115  ,122 
78-58  ,20  
56-7   ,49  
0+292  ,292 
0+802  ,802 
871+9  ,880 
91-331 ,-240
155+162,317 
95+96  ,191 
81+960 ,1041
814+30 ,844 
503+150,653 
188+41 ,229 
97+95  ,192 
7-862  ,-855
61+192 ,253 
712+83 ,795 
234-1  ,233 
7+464  ,471 
7-846  ,-839
45+411 ,456 
290+904,1194
6+498  ,504 
6-309  ,-303
1+512  ,513 
537+18 ,555 
27-78  ,-51 
8+305  ,313 
2-829  ,-827
41+175 ,216 
774+82 ,856 
111+5  ,116 
28-456 ,-428
59+6   ,65  
304-24 ,280 
337-596,-259
5-633  ,-628
380-8  ,372 
353+0  ,353 
725+8  ,733 
4+17   ,21  
966-7  ,959 
521+234,755 
108+67 ,175 
0-433  ,-433
74+483 ,557 
657+289,946 
138+3  ,141 
770+670,1440
5-480  ,-475
65+6   ,71  
827-838,-11 
4-923  ,-919
765-24 ,741 
30-2   ,28  
84+254 ,338 
426+496,922 
682-24 ,658 
402-945,-543
948-67 ,881 
8-310  ,-302
70-289 ,-219
494+3  ,497 
0-250  ,-250
49+10  ,59  
550-398,152 
796-4  ,792 
37-301 ,-264
416-905,-489
72-53  ,19  
5+130  ,135 
480-7  ,473 
89+369 ,458 
1-780  ,-779
221-56 ,165 
5-493  ,-488
702-1  ,701 
10-576 ,-566
432+24 ,456 
79-22  ,57  
10+24  ,34  
94-58  ,36  
642-45 ,597 
92+233 ,325 
5+8    ,13  
82-866 ,-784
166-863,-697
504-0  ,504 
0-806  ,-806
708+3  ,711 
984-90 ,894 
42+400 ,442 
51+60  ,111 
552+965,1517
7-513  ,-506
582+31 ,613 
1+417  ,418 
627-559,68  
795+5  ,800 
660+1  ,661 
32+8   ,40  
586-490,96  
85+729 ,814 
7+434  ,441 
591-82 ,509 
250-67 ,183 
7-416  ,-409
99+800 ,899 
505+19 ,524 
494+1  ,495 
559+16 ,575 
35-69  ,-34 
23+21  ,44  
61+473 ,534 
528-92 ,436 
107+42 ,149 
609+7  ,616 
9-401  ,-392
966+91 ,1057
0+841  ,841 
666+1  ,667 
1+264  ,265 
827-36 ,791 
148-830,-682
778+50 ,828 
