questions,expected
328*5  ,1640   
2+61   ,63     
306+281,587    
857+534,1391   
15*258 ,3870   
30*62  ,1860   
798-45 ,753    
522+3  ,525    
8*961  ,7688   
5+925  ,930    
67-9   ,58     
18+79  ,97     
751*574,431074 
618*13 ,8034   
86-58  ,28     
48+377 ,425    
723*69 ,49887  
0*652  ,0      
95*987 ,93765  
96+93  ,189    
684*6  ,4104   
98*985 ,96530  
660+45 ,705    
10-44  ,-34    
21*6   ,126    
4-530  ,-526   
697*11 ,7667   
442-817,-375   
31*767 ,23777  
378+680,1058   
732+75 ,807    
87-80  ,7      
51-26  ,25     
9+634  ,643    
38*52  ,1976   
85*9   ,765    
691-477,214    
986+7  ,993    
452-44 ,408    
2-319  ,-317   
16+536 ,552    
6-153  ,-147   
760-53 ,707    
7*379  ,2653   
891*3  ,2673   
850-366,484    
401-543,-142   
964*290,279560 
303+3  ,306    
7*898  ,6286   
53*35  ,1855   
30*841 ,25230  
729+8  ,737    
916-35 ,881    
614*417,256038 
12-42  ,-30    
35-538 ,-503   
353+414,767    
62-254 ,-192   
28*244 ,6832   
804-182,622    
60*83  ,4980   
16-401 ,-385   
2-892  ,-890   
7+153  ,160    
150+858,1008   
9*429  ,3861   
75*253 ,18975  
474+313,787    
446-57 ,389    
930*744,691920 
83-68  ,15     
45-3   ,42     
5+42   ,47     
895*4  ,3580   
77+25  ,102    
321*614,197094 
0+999  ,999    
565*465,262725 
13-39  ,-26    
98-630 ,-532   
10-884 ,-874   
0*86   ,0      
55*792 ,43560  
28+50  ,78     
188*791,148708 
285-1  ,284    
20-50  ,-30    
8+838  ,846    
97+17  ,114    
4-251  ,-247   
5-588  ,-583   
552+4  ,556    
69-264 ,-195   
825-0  ,825    
55*12  ,660    
959+70 ,1029   
996*14 ,13944  
5-919  ,-914   
8-553  ,-545   
715-844,-129   
950*68 ,64600  
45-83  ,-38    
484-0  ,484    
93*145 ,13485  
951+86 ,1037   
109+33 ,142    
766*3  ,2298   
368+1  ,369    
4*325  ,1300   
200*94 ,18800  
2+30   ,32     
268*894,239592 
71-1   ,70     
4*880  ,3520   
961-647,314    
487-31 ,456    
459+17 ,476    
81-1   ,80     
497*966,480102 
682*843,574926 
77*73  ,5621   
75-943 ,-868   
485+198,683    
6+473  ,479    
575+106,681    
740*85 ,62900  
999+0  ,999    
818+690,1508   
12-58  ,-46    
847-2  ,845    
803*905,726715 
484*962,465608 
727*16 ,11632  
91-548 ,-457   
149*9  ,1341   
2-857  ,-855   
1+611  ,612    
8-185  ,-177   
682+854,1536   
503*4  ,2012   
973+8  ,981    
90*274 ,24660  
2+838  ,840    
10+91  ,101    
655+509,1164   
29+17  ,46     
706*771,544326 
632+6  ,638    
470*49 ,23030  
1*832  ,832    
403*413,166439 
1+981  ,982    
965*28 ,27020  
771-74 ,697    
575*80 ,46000  
740*73 ,54020  
908-63 ,845    
34*801 ,27234  
7-59   ,-52    
282-65 ,217    
584+300,884    
99*10  ,990    
580+426,1006   
89*6   ,534    
54*863 ,46602  
331*767,253877 
360+213,573    
621*799,496179 
21*830 ,17430  
728*7  ,5096   
31+337 ,368    
789*0  ,0      
83*56  ,4648   
1+853  ,854    
30*493 ,14790  
29-76  ,-47    
72*85  ,6120   
305*871,265655 
68+533 ,601    
271-0  ,271    
177*782,138414 
9-67   ,-58    
496*8  ,3968   
780-61 ,719    
544*8  ,4352   
556-27 ,529    
23+92  ,115    
56-50  ,6      
0*456  ,0      
283-685,-402   
4+909  ,913    
77+87  ,164    
490*6  ,2940   
653-8  ,645    
188*35 ,6580   
138-2  ,136    
543+2  ,545    
9*76   ,684    
806*303,244218 
653*655,427715 
611*699,427089 
56-36  ,20     
5*198  ,990    
30+6   ,36     
70-42  ,28     
28*29  ,812    
626-3  ,623    
28-393 ,-365   
74+3   ,77     
746*4  ,2984   
58*825 ,47850  
114*0  ,0      
147+57 ,204    
25+188 ,213    
842+41 ,883    
7+777  ,784    
470*70 ,32900  
376*369,138744 
765-8  ,757    
8+70   ,78     
11-24  ,-13    
75-61  ,14     
51+41  ,92     
580*8  ,4640   
584+9  ,593    
6+3    ,9      
146*95 ,13870  
9-17   ,-8     
377-0  ,377    
125-0  ,125    
347*5  ,1735   
82-362 ,-280   
51*55  ,2805   
13+6   ,19     
203*5  ,1015   
50*45  ,2250   
780+39 ,819    
191-54 ,137    
89+708 ,797    
866-189,677    
1-90   ,-89    
808+98 ,906    
14-716 ,-702   
452-518,-66    
724-90 ,634    
349*312,108888 
61-74  ,-13    
42-272 ,-230   
8+473  ,481    
78*5   ,390    
609*79 ,48111  
75*864 ,64800  
235+69 ,304    
599-182,417    
680*7  ,4760   
52+0   ,52     
931*741,689871 
321*6  ,1926   
606*61 ,36966  
18+263 ,281    
857*4  ,3428   
75+117 ,192    
24*17  ,408    
522+74 ,596    
264+552,816    
533*950,506350 
40-246 ,-206   
3*282  ,846    
333*7  ,2331   
636*7  ,4452   
677-3  ,674    
30+958 ,988    
104+538,642    
142*19 ,2698   
2+816  ,818    
62-47  ,15     
5-266  ,-261   
920*45 ,41400  
238+483,721    
347-3  ,344    
755-30 ,725    
412*2  ,824    
21*190 ,3990   
647-103,544    
4+215  ,219    
22+63  ,85     
453*4  ,1812   
419+948,1367   
461+413,874    
650*773,502450 
416*4  ,1664   
229*9  ,2061   
757+1  ,758    
26*95  ,2470   
959+863,1822   
811+7  ,818    
57+77  ,134    
632-990,-358   
407+9  ,416    
4*564  ,2256   
344+730,1074   
76*32  ,2432   
462+5  ,467    
582+225,807    
871+67 ,938    
12-503 ,-491   
435-98 ,337    
512*382,195584 
54+18  ,72     
837-751,86     
13*513 ,6669   
765*4  ,3060   
77+34  ,111    
896*469,420224 
116+9  ,125    
41*89  ,3649   
387+89 ,476    
898*438,393324 
407-37 ,370    
2*561  ,1122   
927-2  ,925    
94+12  ,106    
1-28   ,-27    
82*893 ,73226  
23-53  ,-30    
816-946,-130   
372*25 ,9300   
513-847,-334   
848-513,335    
0+545  ,545    
488*7  ,3416   
901*36 ,32436  
870*1  ,870    
1-86   ,-85    
67-416 ,-349   
530*265,140450 
512+21 ,533    
605*6  ,3630   
528-57 ,471    
61-85  ,-24    
238+32 ,270    
36-185 ,-149   
692-1  ,691    
616-3  ,613    
9-730  ,-721   
34*910 ,30940  
237-9  ,228    
743*3  ,2229   
644+990,1634   
975*696,678600 
735+50 ,785    
80-9   ,71     
