questions,expected
4424-4   ,4420 
8983-0   ,8983 
966-1    ,965  
196-46   ,150  
6667-151 ,6516 
24-4     ,20   
9166-5386,3780 
256-27   ,229  
390-31   ,359  
8952-924 ,8028 
862-7    ,855  
654-200  ,454  
5277-436 ,4841 
5190-6   ,5184 
2291-356 ,1935 
9619-790 ,8829 
615-79   ,536  
4153-2015,2138 
6328-2   ,6326 
416-90   ,326  
327-6    ,321  
4503-261 ,4242 
395-1    ,394  
612-610  ,2    
256-135  ,121  
3894-36  ,3858 
797-245  ,552  
596-91   ,505  
4382-159 ,4223 
9878-8577,1301 
347-51   ,296  
9601-2222,7379 
754-58   ,696  
1794-7   ,1787 
4531-3   ,4528 
730-32   ,698  
7811-4   ,7807 
521-26   ,495  
3731-537 ,3194 
9376-7   ,9369 
901-45   ,856  
5064-9   ,5055 
4701-30  ,4671 
954-79   ,875  
4267-465 ,3802 
544-0    ,544  
962-29   ,933  
4624-973 ,3651 
379-0    ,379  
99-92    ,7    
9859-2   ,9857 
258-247  ,11   
2254-25  ,2229 
899-93   ,806  
3419-568 ,2851 
8158-40  ,8118 
7889-3646,4243 
7762-11  ,7751 
7497-680 ,6817 
1775-0   ,1775 
913-38   ,875  
5520-895 ,4625 
5454-39  ,5415 
6961-4729,2232 
9704-763 ,8941 
4242-81  ,4161 
75-1     ,74   
934-0    ,934  
1242-2   ,1240 
195-77   ,118  
112-11   ,101  
3-3      ,0    
609-24   ,585  
5904-264 ,5640 
5797-977 ,4820 
5704-77  ,5627 
125-5    ,120  
834-89   ,745  
4675-4   ,4671 
88-81    ,7    
6290-295 ,5995 
182-1    ,181  
5479-28  ,5451 
3759-832 ,2927 
708-84   ,624  
8898-1593,7305 
890-19   ,871  
4901-1644,3257 
400-125  ,275  
77-60    ,17   
1239-424 ,815  
627-35   ,592  
8797-2274,6523 
9926-285 ,9641 
867-93   ,774  
3335-9   ,3326 
968-41   ,927  
8046-6630,1416 
7002-81  ,6921 
355-15   ,340  
1033-246 ,787  
453-56   ,397  
430-6    ,424  
269-9    ,260  
606-38   ,568  
7168-4602,2566 
996-40   ,956  
6728-8   ,6720 
4313-2   ,4311 
3298-334 ,2964 
3167-735 ,2432 
2039-903 ,1136 
587-164  ,423  
7950-0   ,7950 
3044-177 ,2867 
2583-820 ,1763 
6693-89  ,6604 
5454-798 ,4656 
9058-7   ,9051 
3221-76  ,3145 
8885-29  ,8856 
956-37   ,919  
5280-516 ,4764 
642-7    ,635  
7275-28  ,7247 
6918-2   ,6916 
7764-91  ,7673 
3014-5   ,3009 
4573-794 ,3779 
50-19    ,31   
447-12   ,435  
5744-3   ,5741 
4261-2641,1620 
8776-5606,3170 
7104-71  ,7033 
782-93   ,689  
3880-2   ,3878 
556-4    ,552  
928-3    ,925  
97-18    ,79   
4737-0   ,4737 
9866-430 ,9436 
7477-923 ,6554 
2246-20  ,2226 
625-0    ,625  
6520-443 ,6077 
46-23    ,23   
4423-4   ,4419 
8572-29  ,8543 
961-335  ,626  
9701-5477,4224 
2575-94  ,2481 
745-54   ,691  
1482-35  ,1447 
944-789  ,155  
1857-67  ,1790 
73-24    ,49   
9459-0   ,9459 
3800-0   ,3800 
7441-23  ,7418 
8993-5   ,8988 
945-631  ,314  
2746-0   ,2746 
600-3    ,597  
9433-47  ,9386 
787-73   ,714  
357-1    ,356  
4273-14  ,4259 
5744-1774,3970 
6347-0   ,6347 
459-76   ,383  
6217-3   ,6214 
665-1    ,664  
5120-4073,1047 
91-23    ,68   
4146-4   ,4142 
842-6    ,836  
3450-46  ,3404 
9087-0   ,9087 
5454-640 ,4814 
7462-74  ,7388 
8852-228 ,8624 
9747-4   ,9743 
846-38   ,808  
5932-9   ,5923 
8320-17  ,8303 
6584-29  ,6555 
925-82   ,843  
6219-715 ,5504 
7013-146 ,6867 
5285-770 ,4515 
935-31   ,904  
372-89   ,283  
2588-3   ,2585 
6828-3   ,6825 
6894-91  ,6803 
1925-83  ,1842 
220-16   ,204  
1224-40  ,1184 
1510-0   ,1510 
5179-2   ,5177 
73-60    ,13   
881-77   ,804  
971-17   ,954  
68-1     ,67   
3692-345 ,3347 
670-474  ,196  
902-617  ,285  
448-7    ,441  
9202-499 ,8703 
511-76   ,435  
823-78   ,745  
7562-8   ,7554 
3002-242 ,2760 
9159-472 ,8687 
9649-635 ,9014 
546-386  ,160  
6186-83  ,6103 
63-45    ,18   
2904-80  ,2824 
5051-96  ,4955 
51-15    ,36   
467-69   ,398  
640-29   ,611  
5861-4   ,5857 
1296-318 ,978  
8601-27  ,8574 
8685-84  ,8601 
8073-5116,2957 
7468-3   ,7465 
7270-28  ,7242 
3034-1957,1077 
9650-8868,782  
5017-4   ,5013 
86-14    ,72   
392-8    ,384  
2259-27  ,2232 
7598-140 ,7458 
2594-70  ,2524 
336-0    ,336  
2356-60  ,2296 
389-60   ,329  
4084-1   ,4083 
5709-2231,3478 
8271-2   ,8269 
2354-45  ,2309 
3818-1898,1920 
2480-772 ,1708 
99-6     ,93   
926-813  ,113  
134-32   ,102  
548-8    ,540  
4327-3059,1268 
8313-66  ,8247 
835-5    ,830  
7488-657 ,6831 
6216-9   ,6207 
6705-742 ,5963 
815-1    ,814  
551-99   ,452  
7358-7   ,7351 
8898-4257,4641 
791-79   ,712  
4833-9   ,4824 
7368-67  ,7301 
718-0    ,718  
90-9     ,81   
94-66    ,28   
726-354  ,372  
608-6    ,602  
6343-7   ,6336 
8678-2786,5892 
9992-28  ,9964 
4130-8   ,4122 
6269-4174,2095 
1830-0   ,1830 
965-266  ,699  
7987-2430,5557 
658-0    ,658  
4134-5   ,4129 
3670-8   ,3662 
3587-148 ,3439 
9424-3544,5880 
560-59   ,501  
7154-2   ,7152 
3927-1769,2158 
557-345  ,212  
7683-29  ,7654 
440-86   ,354  
3347-245 ,3102 
3462-78  ,3384 
1983-29  ,1954 
5180-219 ,4961 
3273-58  ,3215 
6728-83  ,6645 
594-9    ,585  
4612-327 ,4285 
4561-1824,2737 
1935-534 ,1401 
7375-8   ,7367 
1085-9   ,1076 
5701-5   ,5696 
3947-599 ,3348 
881-773  ,108  
5467-16  ,5451 
844-2    ,842  
4884-99  ,4785 
7909-918 ,6991 
927-5    ,922  
6631-4   ,6627 
9199-5013,4186 
6703-606 ,6097 
800-3    ,797  
4569-1755,2814 
996-58   ,938  
8132-42  ,8090 
7865-70  ,7795 
463-3    ,460  
3202-55  ,3147 
473-53   ,420  
657-59   ,598  
222-6    ,216  
2811-52  ,2759 
87-34    ,53   
4476-415 ,4061 
660-197  ,463  
2460-413 ,2047 
5407-84  ,5323 
9460-5   ,9455 
694-133  ,561  
386-3    ,383  
538-96   ,442  
8742-8   ,8734 
3832-300 ,3532 
247-1    ,246  
1253-900 ,353  
7672-3936,3736 
9121-443 ,8678 
929-922  ,7    
85-84    ,1    
675-47   ,628  
5176-8   ,5168 
441-28   ,413  
812-5    ,807  
5481-858 ,4623 
5927-2755,3172 
806-14   ,792  
866-88   ,778  
8456-358 ,8098 
3042-29  ,3013 
4099-1201,2898 
9555-11  ,9544 
8056-1   ,8055 
487-4    ,483  
9524-31  ,9493 
97-60    ,37   
582-403  ,179  
996-17   ,979  
9525-3   ,9522 
5194-1171,4023 
179-2    ,177  
875-1    ,874  
388-7    ,381  
2625-7   ,2618 
2200-850 ,1350 
885-23   ,862  
302-6    ,296  
1459-926 ,533  
3627-94  ,3533 
34-21    ,13   
987-898  ,89   
2774-56  ,2718 
2085-793 ,1292 
4634-2   ,4632 
741-9    ,732  
99-72    ,27   
2139-962 ,1177 
899-51   ,848  
1909-472 ,1437 
9608-2398,7210 
6182-4965,1217 
4973-696 ,4277 
1266-421 ,845  
4943-577 ,4366 
1815-4   ,1811 
1713-573 ,1140 
943-790  ,153  
5486-1   ,5485 
57-37    ,20   
911-849  ,62   
1342-154 ,1188 
87-57    ,30   
1538-566 ,972  
395-76   ,319  
9012-9   ,9003 
443-175  ,268  
7969-68  ,7901 
9133-5   ,9128 
618-41   ,577  
8790-843 ,7947 
625-166  ,459  
4947-3832,1115 
191-84   ,107  
3102-29  ,3073 
831-63   ,768  
190-40   ,150  
4411-72  ,4339 
8963-8   ,8955 
8259-453 ,7806 
2609-5   ,2604 
370-5    ,365  
908-69   ,839  
