questions,expected
635-17 ,618 
83-1   ,82  
363-91 ,272 
554-169,385 
456-27 ,429 
456-1  ,455 
986-80 ,906 
346-2  ,344 
594-26 ,568 
673-123,550 
970-752,218 
614-32 ,582 
98-25  ,73  
832-2  ,830 
923-862,61  
420-9  ,411 
669-11 ,658 
958-738,220 
509-90 ,419 
252-43 ,209 
467-310,157 
520-78 ,442 
778-49 ,729 
856-30 ,826 
612-405,207 
243-17 ,226 
185-20 ,165 
241-228,13  
834-87 ,747 
571-44 ,527 
617-601,16  
532-8  ,524 
86-29  ,57  
787-35 ,752 
540-87 ,453 
653-45 ,608 
782-91 ,691 
218-7  ,211 
838-647,191 
853-310,543 
232-70 ,162 
924-5  ,919 
729-86 ,643 
451-65 ,386 
97-36  ,61  
504-18 ,486 
597-47 ,550 
609-36 ,573 
601-109,492 
357-0  ,357 
964-53 ,911 
937-277,660 
519-76 ,443 
607-89 ,518 
88-16  ,72  
748-540,208 
974-24 ,950 
755-720,35  
184-56 ,128 
902-69 ,833 
339-297,42  
394-294,100 
684-579,105 
304-61 ,243 
823-5  ,818 
76-55  ,21  
29-24  ,5   
261-7  ,254 
291-224,67  
853-305,548 
226-130,96  
961-823,138 
712-247,465 
840-73 ,767 
520-96 ,424 
769-713,56  
271-60 ,211 
611-66 ,545 
127-26 ,101 
844-730,114 
99-21  ,78  
298-85 ,213 
132-17 ,115 
627-45 ,582 
665-87 ,578 
732-86 ,646 
701-15 ,686 
652-93 ,559 
499-103,396 
439-287,152 
484-6  ,478 
737-86 ,651 
90-35  ,55  
233-33 ,200 
85-68  ,17  
326-13 ,313 
919-37 ,882 
441-0  ,441 
958-607,351 
502-106,396 
148-92 ,56  
926-78 ,848 
917-283,634 
237-88 ,149 
716-56 ,660 
222-63 ,159 
750-693,57  
934-30 ,904 
804-10 ,794 
726-5  ,721 
677-18 ,659 
877-606,271 
823-55 ,768 
271-36 ,235 
998-95 ,903 
929-891,38  
603-30 ,573 
442-93 ,349 
129-4  ,125 
851-332,519 
166-5  ,161 
375-2  ,373 
721-84 ,637 
855-540,315 
88-2   ,86  
737-11 ,726 
176-140,36  
94-37  ,57  
490-401,89  
375-43 ,332 
868-558,310 
542-54 ,488 
644-66 ,578 
195-0  ,195 
683-11 ,672 
432-9  ,423 
483-304,179 
367-61 ,306 
759-260,499 
564-421,143 
132-5  ,127 
511-68 ,443 
600-9  ,591 
681-74 ,607 
97-10  ,87  
958-5  ,953 
30-16  ,14  
655-7  ,648 
880-146,734 
488-416,72  
251-41 ,210 
562-230,332 
975-27 ,948 
345-55 ,290 
959-35 ,924 
58-7   ,51  
89-31  ,58  
553-217,336 
675-495,180 
911-73 ,838 
528-6  ,522 
621-74 ,547 
752-676,76  
125-61 ,64  
130-39 ,91  
98-27  ,71  
813-80 ,733 
156-7  ,149 
414-31 ,383 
821-4  ,817 
528-393,135 
70-3   ,67  
88-34  ,54  
67-62  ,5   
472-4  ,468 
949-87 ,862 
569-550,19  
360-83 ,277 
159-57 ,102 
718-14 ,704 
595-77 ,518 
610-378,232 
496-12 ,484 
631-592,39  
819-9  ,810 
500-2  ,498 
461-97 ,364 
970-535,435 
677-58 ,619 
491-7  ,484 
810-45 ,765 
308-128,180 
935-15 ,920 
243-56 ,187 
372-141,231 
99-88  ,11  
950-75 ,875 
861-5  ,856 
433-76 ,357 
611-245,366 
343-136,207 
972-539,433 
455-15 ,440 
291-48 ,243 
450-89 ,361 
445-28 ,417 
604-13 ,591 
651-60 ,591 
104-4  ,100 
847-10 ,837 
573-72 ,501 
443-70 ,373 
853-97 ,756 
160-74 ,86  
970-948,22  
214-65 ,149 
581-179,402 
92-90  ,2   
785-481,304 
9-1    ,8   
687-55 ,632 
416-4  ,412 
526-20 ,506 
561-505,56  
806-17 ,789 
959-98 ,861 
946-327,619 
751-8  ,743 
576-468,108 
798-140,658 
797-80 ,717 
827-5  ,822 
908-5  ,903 
152-98 ,54  
632-477,155 
116-1  ,115 
561-5  ,556 
556-0  ,556 
481-52 ,429 
542-496,46  
968-3  ,965 
336-96 ,240 
320-97 ,223 
209-3  ,206 
533-65 ,468 
647-83 ,564 
488-129,359 
847-36 ,811 
472-94 ,378 
81-66  ,15  
998-13 ,985 
801-87 ,714 
842-40 ,802 
755-2  ,753 
671-321,350 
583-87 ,496 
740-558,182 
116-12 ,104 
533-94 ,439 
128-33 ,95  
635-599,36  
595-25 ,570 
965-252,713 
102-70 ,32  
156-65 ,91  
618-612,6   
326-1  ,325 
823-35 ,788 
664-78 ,586 
366-51 ,315 
412-51 ,361 
177-75 ,102 
609-7  ,602 
879-242,637 
288-75 ,213 
606-36 ,570 
98-30  ,68  
787-368,419 
947-71 ,876 
672-1  ,671 
667-35 ,632 
396-94 ,302 
93-25  ,68  
369-4  ,365 
765-2  ,763 
934-13 ,921 
35-30  ,5   
844-673,171 
126-67 ,59  
669-2  ,667 
772-86 ,686 
794-62 ,732 
971-53 ,918 
572-141,431 
433-77 ,356 
320-33 ,287 
632-517,115 
889-38 ,851 
654-138,516 
752-4  ,748 
807-617,190 
769-97 ,672 
387-7  ,380 
695-72 ,623 
891-24 ,867 
975-773,202 
654-7  ,647 
