questions,expected
834-279,555 
129-21 ,108 
323-66 ,257 
608-38 ,570 
793-48 ,745 
294-28 ,266 
832-658,174 
732-378,354 
526-319,207 
996-645,351 
194-26 ,168 
791-513,278 
784-6  ,778 
913-73 ,840 
653-96 ,557 
108-64 ,44  
664-16 ,648 
429-57 ,372 
978-6  ,972 
811-49 ,762 
891-797,94  
217-73 ,144 
794-609,185 
507-9  ,498 
963-410,553 
982-8  ,974 
769-72 ,697 
981-8  ,973 
698-85 ,613 
901-4  ,897 
395-56 ,339 
551-9  ,542 
890-5  ,885 
489-309,180 
330-78 ,252 
170-165,5   
515-99 ,416 
679-4  ,675 
955-763,192 
645-201,444 
329-77 ,252 
757-387,370 
23-15  ,8   
982-361,621 
95-37  ,58  
629-17 ,612 
445-61 ,384 
278-3  ,275 
80-58  ,22  
377-7  ,370 
382-91 ,291 
67-58  ,9   
354-8  ,346 
79-23  ,56  
886-42 ,844 
187-30 ,157 
729-24 ,705 
759-17 ,742 
598-111,487 
884-82 ,802 
768-25 ,743 
339-1  ,338 
159-79 ,80  
877-39 ,838 
980-543,437 
313-32 ,281 
243-1  ,242 
614-32 ,582 
586-64 ,522 
655-65 ,590 
729-85 ,644 
200-9  ,191 
406-255,151 
294-9  ,285 
48-20  ,28  
136-7  ,129 
174-41 ,133 
601-501,100 
842-30 ,812 
795-28 ,767 
972-64 ,908 
976-8  ,968 
449-324,125 
703-55 ,648 
65-22  ,43  
855-6  ,849 
859-574,285 
833-731,102 
720-65 ,655 
88-88  ,0   
443-22 ,421 
869-2  ,867 
95-54  ,41  
884-33 ,851 
389-79 ,310 
941-74 ,867 
844-15 ,829 
993-388,605 
770-66 ,704 
62-35  ,27  
536-86 ,450 
936-81 ,855 
552-395,157 
615-177,438 
848-64 ,784 
411-27 ,384 
368-29 ,339 
659-47 ,612 
228-3  ,225 
708-3  ,705 
755-10 ,745 
923-14 ,909 
186-37 ,149 
115-67 ,48  
639-47 ,592 
452-95 ,357 
496-479,17  
915-459,456 
565-95 ,470 
457-134,323 
939-79 ,860 
457-49 ,408 
935-102,833 
632-94 ,538 
87-2   ,85  
408-40 ,368 
728-210,518 
574-380,194 
967-5  ,962 
962-275,687 
437-99 ,338 
574-476,98  
571-232,339 
993-9  ,984 
885-2  ,883 
695-25 ,670 
461-1  ,460 
957-82 ,875 
287-89 ,198 
235-63 ,172 
815-23 ,792 
503-77 ,426 
967-13 ,954 
379-9  ,370 
867-30 ,837 
110-56 ,54  
959-84 ,875 
492-18 ,474 
924-565,359 
696-457,239 
787-64 ,723 
700-0  ,700 
703-34 ,669 
530-85 ,445 
390-4  ,386 
271-63 ,208 
667-8  ,659 
911-485,426 
674-563,111 
629-7  ,622 
560-62 ,498 
623-202,421 
617-566,51  
777-71 ,706 
827-64 ,763 
342-58 ,284 
495-1  ,494 
889-166,723 
462-59 ,403 
389-4  ,385 
193-7  ,186 
183-60 ,123 
958-73 ,885 
220-170,50  
632-596,36  
201-76 ,125 
326-130,196 
636-101,535 
945-8  ,937 
241-8  ,233 
645-65 ,580 
323-2  ,321 
222-20 ,202 
884-53 ,831 
358-85 ,273 
960-28 ,932 
762-26 ,736 
793-20 ,773 
614-496,118 
816-1  ,815 
484-44 ,440 
611-4  ,607 
362-15 ,347 
682-534,148 
490-52 ,438 
463-66 ,397 
798-7  ,791 
66-62  ,4   
244-29 ,215 
452-157,295 
801-5  ,796 
93-47  ,46  
344-53 ,291 
92-18  ,74  
483-12 ,471 
697-18 ,679 
89-67  ,22  
264-28 ,236 
849-46 ,803 
736-5  ,731 
506-27 ,479 
912-38 ,874 
472-64 ,408 
667-277,390 
707-8  ,699 
227-9  ,218 
96-78  ,18  
622-44 ,578 
901-47 ,854 
230-94 ,136 
726-37 ,689 
756-48 ,708 
196-29 ,167 
246-74 ,172 
903-73 ,830 
205-11 ,194 
107-17 ,90  
477-85 ,392 
650-83 ,567 
315-85 ,230 
302-7  ,295 
844-604,240 
842-4  ,838 
772-41 ,731 
812-79 ,733 
887-89 ,798 
204-5  ,199 
678-65 ,613 
871-759,112 
