questions,expected
596-36 ,560 
315-6  ,309 
981-20 ,961 
628-81 ,547 
629-90 ,539 
982-298,684 
678-16 ,662 
384-16 ,368 
649-648,1   
693-66 ,627 
37-11  ,26  
44-14  ,30  
240-7  ,233 
862-590,272 
33-2   ,31  
955-823,132 
778-8  ,770 
539-99 ,440 
343-11 ,332 
843-732,111 
310-11 ,299 
512-40 ,472 
946-637,309 
442-8  ,434 
371-236,135 
79-34  ,45  
562-97 ,465 
398-67 ,331 
408-287,121 
480-12 ,468 
129-17 ,112 
544-195,349 
687-23 ,664 
105-43 ,62  
126-72 ,54  
501-310,191 
971-9  ,962 
241-125,116 
775-3  ,772 
882-411,471 
92-31  ,61  
550-212,338 
489-161,328 
988-274,714 
917-766,151 
951-876,75  
918-0  ,918 
933-19 ,914 
101-69 ,32  
526-38 ,488 
763-129,634 
945-316,629 
368-211,157 
896-868,28  
522-189,333 
648-2  ,646 
161-1  ,160 
884-704,180 
744-4  ,740 
869-41 ,828 
753-83 ,670 
595-213,382 
612-590,22  
854-690,164 
713-2  ,711 
287-7  ,280 
986-745,241 
373-7  ,366 
456-5  ,451 
982-25 ,957 
133-66 ,67  
83-53  ,30  
867-2  ,865 
306-28 ,278 
574-93 ,481 
899-592,307 
676-4  ,672 
750-275,475 
840-165,675 
574-10 ,564 
825-45 ,780 
196-92 ,104 
873-7  ,866 
623-36 ,587 
578-382,196 
468-28 ,440 
747-638,109 
836-350,486 
585-511,74  
558-88 ,470 
626-414,212 
927-92 ,835 
501-146,355 
768-55 ,713 
969-6  ,963 
660-194,466 
965-575,390 
987-114,873 
892-51 ,841 
83-17  ,66  
895-16 ,879 
332-61 ,271 
431-71 ,360 
359-96 ,263 
543-2  ,541 
458-29 ,429 
89-20  ,69  
862-45 ,817 
914-31 ,883 
147-9  ,138 
469-201,268 
954-574,380 
375-45 ,330 
88-58  ,30  
995-357,638 
509-81 ,428 
729-148,581 
744-9  ,735 
943-66 ,877 
853-1  ,852 
64-59  ,5   
90-60  ,30  
964-9  ,955 
726-2  ,724 
377-92 ,285 
218-24 ,194 
97-92  ,5   
88-40  ,48  
644-125,519 
876-7  ,869 
615-0  ,615 
688-56 ,632 
871-721,150 
613-545,68  
506-53 ,453 
583-40 ,543 
154-65 ,89  
285-89 ,196 
596-180,416 
874-188,686 
921-4  ,917 
409-1  ,408 
130-99 ,31  
126-48 ,78  
343-20 ,323 
518-4  ,514 
517-66 ,451 
821-164,657 
801-301,500 
212-8  ,204 
359-13 ,346 
634-156,478 
581-2  ,579 
519-38 ,481 
390-46 ,344 
847-322,525 
992-51 ,941 
977-18 ,959 
329-37 ,292 
648-52 ,596 
466-302,164 
209-92 ,117 
639-189,450 
674-547,127 
42-17  ,25  
79-32  ,47  
324-28 ,296 
207-61 ,146 
925-63 ,862 
124-48 ,76  
998-280,718 
258-167,91  
317-60 ,257 
997-486,511 
647-316,331 
181-71 ,110 
194-135,59  
134-67 ,67  
685-55 ,630 
67-51  ,16  
23-1   ,22  
342-97 ,245 
190-42 ,148 
257-155,102 
838-55 ,783 
293-73 ,220 
707-609,98  
387-22 ,365 
776-66 ,710 
957-49 ,908 
619-214,405 
709-342,367 
112-64 ,48  
369-179,190 
925-638,287 
577-495,82  
235-79 ,156 
935-83 ,852 
709-82 ,627 
331-159,172 
521-55 ,466 
624-186,438 
664-1  ,663 
92-26  ,66  
973-97 ,876 
877-75 ,802 
262-16 ,246 
822-56 ,766 
586-61 ,525 
644-315,329 
697-80 ,617 
445-321,124 
765-555,210 
81-1   ,80  
526-31 ,495 
372-74 ,298 
849-211,638 
764-1  ,763 
844-817,27  
634-79 ,555 
790-98 ,692 
693-241,452 
305-33 ,272 
974-610,364 
588-302,286 
638-90 ,548 
503-57 ,446 
999-791,208 
60-35  ,25  
522-93 ,429 
363-3  ,360 
427-65 ,362 
969-31 ,938 
26-10  ,16  
524-266,258 
618-0  ,618 
328-31 ,297 
162-79 ,83  
631-8  ,623 
732-41 ,691 
628-63 ,565 
844-843,1   
907-39 ,868 
480-5  ,475 
635-0  ,635 
320-86 ,234 
389-3  ,386 
929-46 ,883 
722-2  ,720 
447-8  ,439 
719-541,178 
993-76 ,917 
308-1  ,307 
418-6  ,412 
70-15  ,55  
34-9   ,25  
291-39 ,252 
836-44 ,792 
600-21 ,579 
897-9  ,888 
153-32 ,121 
294-26 ,268 
894-770,124 
191-5  ,186 
9-9    ,0   
744-5  ,739 
442-334,108 
771-654,117 
362-40 ,322 
154-76 ,78  
81-12  ,69  
331-57 ,274 
755-518,237 
734-77 ,657 
932-1  ,931 
921-91 ,830 
633-87 ,546 
142-99 ,43  
444-9  ,435 
965-76 ,889 
939-28 ,911 
211-98 ,113 
537-46 ,491 
962-86 ,876 
301-99 ,202 
92-42  ,50  
478-141,337 
655-58 ,597 
631-77 ,554 
443-364,79  
988-36 ,952 
88-61  ,27  
852-90 ,762 
136-39 ,97  
618-446,172 
392-0  ,392 
547-23 ,524 
850-27 ,823 
700-25 ,675 
357-44 ,313 
804-27 ,777 
758-143,615 
892-128,764 
596-98 ,498 
724-533,191 
481-70 ,411 
607-86 ,521 
464-83 ,381 
508-29 ,479 
274-39 ,235 
337-83 ,254 
154-52 ,102 
54-11  ,43  
844-92 ,752 
478-271,207 
123-42 ,81  
302-273,29  
517-67 ,450 
302-105,197 
71-15  ,56  
321-88 ,233 
705-26 ,679 
478-311,167 
150-42 ,108 
994-94 ,900 
677-598,79  
821-77 ,744 
269-41 ,228 
783-31 ,752 
277-60 ,217 
902-42 ,860 
501-122,379 
926-78 ,848 
508-489,19  
129-7  ,122 
397-92 ,305 
774-9  ,765 
952-889,63  
508-70 ,438 
290-80 ,210 
267-47 ,220 
717-26 ,691 
841-67 ,774 
630-519,111 
67-33  ,34  
185-74 ,111 
75-40  ,35  
730-11 ,719 
933-869,64  
267-159,108 
607-514,93  
409-240,169 
837-71 ,766 
849-43 ,806 
958-77 ,881 
665-46 ,619 
921-3  ,918 
277-67 ,210 
352-90 ,262 
93-66  ,27  
441-51 ,390 
832-15 ,817 
59-51  ,8   
818-73 ,745 
837-123,714 
429-10 ,419 
775-182,593 
189-2  ,187 
515-70 ,445 
417-77 ,340 
710-5  ,705 
393-31 ,362 
444-8  ,436 
909-0  ,909 
761-88 ,673 
374-38 ,336 
595-70 ,525 
516-36 ,480 
800-298,502 
796-727,69  
275-142,133 
19-9   ,10  
14-2   ,12  
838-32 ,806 
894-568,326 
618-10 ,608 
69-38  ,31  
555-82 ,473 
568-6  ,562 
150-25 ,125 
526-40 ,486 
938-31 ,907 
945-323,622 
790-48 ,742 
680-213,467 
725-86 ,639 
354-93 ,261 
480-25 ,455 
173-51 ,122 
572-49 ,523 
119-73 ,46  
253-235,18  
76-52  ,24  
574-4  ,570 
325-82 ,243 
86-2   ,84  
530-4  ,526 
726-278,448 
832-74 ,758 
945-831,114 
822-739,83  
78-57  ,21  
754-565,189 
